Reference, Value, Footprint, Datasheet, BuyLink, MFR, MPN, Price, LCSC
"C9","100n","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","","Yageo","CC0805KRX7R9BB104","0.046","C49678"
"D1","26V7","Diode_SMD:D_SMA","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smaj_datasheet.pdf.pdf","","LittelFuse","SMAJ24CA","0.35",""
"R3","10K","Resistor_SMD:R_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","","Yageo","RC0805FR-0710KL","0.10","C17414"
"R8","10K","Resistor_SMD:R_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","","Yageo","RC0805FR-0710KL","0.10","C17414"
"R7","10K","Resistor_SMD:R_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","","Yageo","RC0805FR-0710KL","0.10","C17414"
"J9","Conn_02x12_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x12_P2.54mm_Vertical","http://www.amphenol-icc.com/media/wysiwyg/files/drawing/g800wxxxxxxeu_2.pdf","","Amphenol","G800W590018EU","0.23",""
"J8","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","http://www.amphenol-icc.com/media/wysiwyg/files/drawing/g800wxxxxxxeu_1.pdf","","Amphenol","G800W305018EU","0.10",""
"J10","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","http://www.amphenol-icc.com/media/wysiwyg/files/drawing/g800wxxxxxxeu_1.pdf","","Amphenol","G800W305018EU","0.10",""
"J11","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","http://www.amphenol-icc.com/media/wysiwyg/files/drawing/g800wxxxxxxeu_1.pdf","","Amphenol","G800W305018EU","0.10",""
"U4","IFX9201","Package_SO:Infineon_PG-DSO-12-9_ThermalVias","https://www.infineon.com/dgdl/Infineon-IFX9201SG-DS-v01_01-EN.pdf?fileId=5546d4624cb7f111014d2e8916795dea&ack=t","","Infineon","IFX9201SGAUMA1 ","3.55","C112633"
"C11","100n","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","","Yageo","CC0805KRX7R9BB104","0.046","C49678"
"C12","47u","Capacitor_SMD:CP_Elec_6.3x5.9","https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C226.pdf","","Panasonic","35SVPK47M","0.713",""
"U5","IFX9201","Package_SO:Infineon_PG-DSO-12-9_ThermalVias","https://www.infineon.com/dgdl/Infineon-IFX9201SG-DS-v01_01-EN.pdf?fileId=5546d4624cb7f111014d2e8916795dea&ack=t","","Infineon","IFX9201SGAUMA1 ","3.55","C112633"
"C13","100n","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","","Yageo","CC0805KRX7R9BB104","0.046","C49678"
"C14","47u","Capacitor_SMD:CP_Elec_6.3x5.9","https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C226.pdf","","Panasonic","35SVPK47M","0.713",""
"U6","IFX9201","Package_SO:Infineon_PG-DSO-12-9_ThermalVias","https://www.infineon.com/dgdl/Infineon-IFX9201SG-DS-v01_01-EN.pdf?fileId=5546d4624cb7f111014d2e8916795dea&ack=t","","Infineon","IFX9201SGAUMA1 ","3.55","C112633"
"C15","100n","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","","Yageo","CC0805KRX7R9BB104","0.046","C49678"
"C16","47u","Capacitor_SMD:CP_Elec_6.3x5.9","https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C226.pdf","","Panasonic","35SVPK47M","0.713",""
"U7","IFX9201","Package_SO:Infineon_PG-DSO-12-9_ThermalVias","https://www.infineon.com/dgdl/Infineon-IFX9201SG-DS-v01_01-EN.pdf?fileId=5546d4624cb7f111014d2e8916795dea&ack=t","","Infineon","IFX9201SGAUMA1 ","3.55","C112633"
"C17","100n","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","","Yageo","CC0805KRX7R9BB104","0.046","C49678"
"C18","47u","Capacitor_SMD:CP_Elec_6.3x5.9","https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C226.pdf","","Panasonic","35SVPK47M","0.713",""
"U8","IFX9201","Package_SO:Infineon_PG-DSO-12-9_ThermalVias","https://www.infineon.com/dgdl/Infineon-IFX9201SG-DS-v01_01-EN.pdf?fileId=5546d4624cb7f111014d2e8916795dea&ack=t","","Infineon","IFX9201SGAUMA1 ","3.55","C112633"
"C19","100n","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","","Yageo","CC0805KRX7R9BB104","0.046","C49678"
"C20","47u","Capacitor_SMD:CP_Elec_6.3x5.9","https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C226.pdf","","Panasonic","35SVPK47M","0.713",""
